fid,field_1,Long,Lat,SAMPLE_1
"1","1",-117.4545424,48.92828211,450581.96875
"2","2",-117.4599805,48.92923243,449668.8125
"3","3",-117.460951,48.92897812,449668.8125
"4","4",-117.459049,48.92768854,449668.8125
"5","5",-117.4619571,48.92707986,449919.75
"6","6",-117.3527134,38.83638047,558489.625
"7","7",-117.3527939,38.83187711,558257.6875
"8","8",-117.351978,38.8321315,558257.6875
"9","9",-117.3544229,38.83152283,558257.6875
"10","10",-117.3550722,38.83280435,558257.6875
"11","11",-122.6011335,50.51177801,118769.7578125
"12","12",-122.6439121,50.5243255,116844.3984375
"13","13",-122.6134927,50.50690557,117064.28125
"14","14",-122.6293032,50.50509622,115830.9921875
"15","15",-105.4447594,37.60113581,1211851
"16","16",-105.4892646,37.55800839,1204422.25
"17","17",-105.4668639,37.55712796,1205718
"18","18",-105.5163601,37.55963,1202481.25
"19","19",-105.516721,37.58149632,1204357.375
"20","20",-113.7794838,44.15725273,1077961.125
"21","21",-113.7596273,44.15121754,1080212.75
"22","22",-113.7902345,44.14490535,1077793.125
"23","23",-113.7848778,44.09170916,1082295.5
"24","24",-113.7951167,44.12855142,1078269
"25","25",-83.50996427,9.477636466,45807.8671875
"26","26",-83.51062867,9.476486018,45139.34765625
"27","27",-83.51014263,9.468611245,44478.52734375
"28","28",-115.6944504,36.2716355,436452.375
"29","29",-115.6947488,36.27228136,436452.375
"30","30",-115.6963118,36.27232544,436452.375
"31","31",-115.6955914,36.27076619,436452.375
"32","32",-115.68119,36.25914896,435770.75
"33","33",-115.6963624,36.27105197,436452.375
"34","34",-127.4848385,53.1796278,16183.5029296875
"35","35",-127.4925062,53.14943381,11116.140625
"36","36",-127.4721535,53.11728466,9330.2490234375
"37","37",-127.4337494,53.1216862,13347.48828125
"38","38",-107.0574931,44.36974314,1710928.375
"39","39",-107.1598085,44.45386195,1719851.5
"40","40",-107.1290126,44.40607765,1717920.625
"41","41",-107.1904176,44.30025557,1728021.625
"42","42",-107.2633561,44.33415565,1734983.125
"43","43",-107.2598413,44.39082254,1732971.5
"44","44",-117.1592719,49.75776149,480017.53125
"45","45",-117.1572003,49.74629217,480755.28125
"46","46",-110.2651103,46.01720088,1350407.125
"47","47",-110.2859768,45.9564227,1349354.875
"48","48",-110.2628584,46.00617681,1350643.875
